account_number,aba,bic,opened,balance
XONH74555744161416,044792154,KAXLGB60,2006-08-06,382319
XXCA53861658969576,078809929,PMOKGBY1ZAQ,2006-10-24,323534
QBRC32025499470901,011507408,PYGZGB6GKT0,2011-02-25,1991124
FEAV13943161936443,021736706,KNZJGBHY,2000-08-15,1865742
IFBC56138091674584,078384839,XRXJGBAX,2009-06-22,397291
ZSKE85294226200196,118785385,PQCLGBOQCU7,2012-11-29,1346489
OUDB56120502699803,118642868,XQUZGB9WYVR,2009-08-17,288244
JMFM15836807609902,046570015,ODRCGBG54OS,2018-12-20,1484537
KWHQ78800819973280,083176485,EMCHGBJ0,2008-05-27,1570678
ZKLT97810850166880,072308125,JRKXGBGTSGI,2001-03-09,937868
WGIT72073638981104,063983012,QJOSGBR3,2000-06-03,1857533
UWKQ74424164943993,041258206,KADQGB5U91W,2003-12-30,1155221
PTKG30037415527769,073593421,JAPRGBF9YPR,2002-10-14,177514
KGHB54483881397962,022249807,QWOKGB7S4LK,2008-08-18,1800542
PULA68668070019324,074382767,VFVUGB0O65R,2015-04-07,1876310
THPF10615213542372,010352670,FXPRGB1J,2019-02-20,1705766
OBKZ51268279026705,042178767,VGOAGB907AS,2018-09-10,1566235
DFRQ39876837349483,079794059,FSLEGBVC,2020-09-13,969420
TTRG07421680010469,022063805,MEELGB399BX,2002-08-20,1080909
ACLJ87560863222984,092889255,YNMIGBCUE61,2015-08-14,819633
JMFO09596577124352,088665616,SUKDGBZXIT3,2004-04-29,215476
MQYB29029514732754,088086965,RZSIGB5PABT,2003-12-11,237308
TAKW90620767103648,059666288,UMYMGB4JPUO,2002-04-15,1954060
AOKU79827113194479,124201879,AINDGBLUGWK,2000-12-18,1498707
WCAC74793733672421,116807265,LTJGGBFZ8TT,2005-03-12,1185707
QALM60004223144583,047285998,DYCFGBQOMTB,2012-02-04,953118
HZVF17438526262691,033689922,CNXKGB20A89,2008-03-28,247224
YGSJ30321746515878,128026681,VSLEGBX8J8X,2002-10-20,1513513
RLZW80806727164126,039536558,YAALGBVU,2001-01-12,1536672
GRCC34372393868582,058232969,HYKCGBWKD8K,2004-09-11,737645
UWUU47879870834363,022345772,JAWRGBZE,2001-08-18,1073604
LLWS39974766694065,101816054,NKNRGB9X,2003-02-10,342416
ZCSS40221009611842,119947067,MQOIGBOOC7C,2001-04-25,417356
JEUP67096468190712,108194012,TKVXGBG9LVG,2003-12-29,1949729
CTGH42119344848939,011891813,STOKGB324YK,2010-08-09,1807434
KJDV30283783899610,082082758,VGJTGBBKYK4,2014-06-05,1496709
DKUL95395613996214,058150096,LDAOGB5P,2005-06-21,1712610
LEJW91804208343971,088256753,ISNLGBEL,2009-03-30,1881230
UKAW14650795350026,110364791,XIALGBCJ,2015-04-27,78951
GOFC05430607497359,019551090,NVXQGBQ6,2016-07-09,895916
XXEJ48135131597196,075423751,VUJCGBZ3,2007-07-24,1331769
OEQX40595590845503,108851067,QXHNGBLV,2012-11-11,1340999
PVJD62449072009377,020635507,CKYTGBWU,2010-09-17,1158186
QZZR00134462192199,027303667,JIHYGBSH,2009-06-09,795497
MMOV78971087907419,064678135,TBEQGBSCNPM,2015-12-05,604535
YUWL80691551162667,045435863,FPYFGB0T,2009-12-02,158405
UHEK15966801756203,074713488,ZHWQGBKI,2015-12-26,860276
XEEI97544307709448,119749799,LJGWGBKWD43,2010-10-03,290196
SDSS00311935927384,106932603,RPYKGB4K781,2006-02-17,1747002
PDMX69166240978598,014398672,ZOZLGB6F6KH,2001-04-13,577113
JPCB51327616821743,047292457,JCBUGBGGP4A,2015-11-09,928272
BXRV52580987120128,093212452,EFMGGB44,2019-10-02,115541
HYHJ47422657064795,073814948,XDBYGBYS,2016-02-27,81607
PXMT54560618810059,099260314,YAUGGBUPWU9,2019-01-06,1218035
TUJZ19696353436192,100125953,FRNCGBBKND1,2019-12-05,1496078
QTDS66434422315480,074682742,KZMEGBFQ,2001-05-29,845195
DLIH03471612466366,027608621,TWKRGB1Q,2012-07-20,342735
MUBE46692586902456,067121566,UVRFGB1F,2014-07-05,1178921
VZQQ17408836557322,120971394,JYKSGBL5AS6,2010-05-27,1628765
HUKU27552683166226,077811743,XNHRGBB9,2000-03-09,275452
AISU23910353582972,029948185,OCXCGBB3SCC,2004-02-01,1924116
IYUE71875987297226,067534946,ZZUCGBS5AQM,2003-05-03,188103
VWTC34589131814568,094192678,PZCNGBW89X0,2009-07-05,1630584
UKVL23510765151375,033681836,FDFIGB546KF,2022-01-09,839689
BQFS72062485249770,046151324,VPPYGB08,2007-02-07,1091480
HEUJ91121888829367,069190223,YQEGGBYJ,2013-07-15,1126794
BDAL08993216339677,118892634,LZDTGB1K,2022-04-10,1138555
SUGS29878043555214,046317540,XFJWGBC77JG,2002-07-31,1966358
NLDO37397513872890,108335156,ORAMGBQ0,2022-07-24,596978
TGMD12621982960491,049871465,YJVOGBJ3IFF,2022-02-09,1643726
FGIH85246493561353,096952382,APOWGBDJDO9,2013-04-29,344989
GCOC77881174754001,068363572,MPKMGBPO,2009-09-10,1786204
BUMH09254481246019,118809423,LRVOGBGD,2020-05-13,133150
ACAJ18932120479156,074641398,JFZQGBNL,2000-09-05,1199720
PXNY66239978515050,040983022,XSIEGBVA,2006-08-25,1390100
VNHK72205163358240,027039232,VNLSGB4N,2017-10-12,1854616
DEZH62906146325060,129813505,SQQPGBY9CTR,2013-04-12,709496
MZBN12493308684681,105971704,HBAPGBNQTEI,2022-08-04,1696205
ZCEG16164811709843,100271182,WZCNGBBNQ56,2002-09-09,863255
ZCQM37452864927577,065231157,NPZFGB4EAQM,2011-05-10,563057
WSYK19465090517282,051309048,GHHTGBMG01C,2015-08-15,949510
LCZU29069483142907,016239881,KUGJGB02,2021-01-13,1584957
ZBUM49878164809963,079813859,QRYVGBVKT4J,2006-09-22,464699
YMGN91865953566288,011131609,MKOSGBW8,2006-09-17,365405
YRMG54066671701249,129598862,PLODGBF2BTR,2001-01-04,1587541
YYIW42801363983982,020094821,KPMJGBQBTI5,2015-05-10,942996
VCCP70794339264954,048234249,IJTNGB5VTXW,2004-10-10,946230
DKXC35919779765922,076843929,HDLMGBBE,2017-01-06,1006310
USLO00262611281352,127602271,AZPHGBIU,2008-01-25,1051619
KNPX78050964032318,043862742,OGVAGB04HXO,2018-11-08,1954371
YHBL35233581578261,107596035,MIKXGBZI,2018-02-22,1345742
AJUF16556330671798,021143218,RATAGB63,2012-03-29,193741
OJYU17474817057180,089744565,LQCPGBODRMM,2010-08-09,165841
QYSN11491264212197,108444762,TJTQGBBQ,2012-08-21,799103
SSBY87957140558942,094769153,VUZNGB64,2011-05-05,1791001
ECRC73480156538023,075169358,EWZLGBS7IAA,2001-02-02,435072
MBBM84510386985310,110243838,PDOKGB3HAXF,2001-04-04,119461
SODZ88258350127349,069602643,ELOIGBLD,2003-10-25,1166133
GLUJ83059482248729,055792651,WTHGGBD0,2005-01-05,1429811
KQPI06633345547280,086279305,IKPLGBWS,2019-11-20,1534681
PKPN81342125784699,031865845,SCKOGB6LZOF,2018-06-10,1336442
WNLJ01723451797821,097656247,JSKHGB9H,2012-03-19,1928653
LUQF63913656675511,119003480,EYJOGBXI1BY,2012-03-03,1782261
SCDE03087775417166,088565813,PRGZGBN4C3H,2008-12-22,1442083
OCRD81235713956548,019568711,NOQHGB22,2015-12-25,616417
KKGO94932220616229,032803327,FBZYGB2QCZH,2001-11-24,85170
KNDV85622462244429,123840642,VBPVGBN0LE0,2010-04-13,530993
QOTC51848038526338,032480711,VESKGBZ1J67,2019-04-04,1184902
FEQS73641257844957,041676723,MWQIGB9NYTF,2005-07-11,990046
ODKJ99017072147219,068563301,QYWFGBQONJN,2021-02-21,896298
VGTI04310360938811,070317697,RYOMGBD1,2021-09-17,1097830
VUJB49443586663526,028726573,PPENGBOFH1Z,2000-05-14,1674713
NUTS84767270878205,069902372,VKJAGB9H,2005-08-07,324819
GSWS50759377289864,067231553,ARTQGBVCBSL,2006-03-24,128241
QSJL60648162445099,030017076,WTWHGBZSOMU,2012-03-01,851645
FYXG60813312617941,029838839,NGTTGBRFZNH,2003-12-10,1704556
JIGD75292501406341,029685833,NLHMGBYFU9I,2010-04-06,1610716
TSRS23978018411746,081426726,UUXMGBCAZTR,2009-02-13,1026380
XDLZ20313641740542,030896378,XHAVGB63,2018-03-15,1141601
SFVS80613831986118,111179820,WXXDGBKIYW9,2012-03-12,825793
KRCA52516425254813,083038905,FWRBGBKK,2019-12-29,1110342
XZAV92869778596406,105462556,VRWSGB0PK6I,2016-09-01,836793
SBXD49402729748654,111344370,IYNVGBRM6KR,2017-07-01,1757488
WSLZ58015443638986,110132415,NKWTGBVLRZD,2013-03-18,22167
SNIU85151647941346,127241108,MNOBGBS6JUP,2014-04-24,1683946
LJXQ32508982324151,033362948,OABMGBE0,2001-09-28,1082884
SDUN30990657022841,031991683,FTYUGB58,2007-05-16,637135
UKTY98992454274830,052754799,UXFBGBTULU1,2019-04-01,1159926
THOQ27702277423731,053058339,CSZCGB1Y,2022-05-10,1651460
PVKP48126632925607,026472719,UFHIGB5P,2022-06-08,447690
GMMD10599729820015,107701299,IHLKGBP2,2002-06-02,726527
JNCF86021484115767,016163575,EBMJGB67VUD,2003-08-08,1535473
UQLB29251535489497,051974237,ZGTSGB0G7RG,2017-12-18,729197
PYSJ85267154745926,026454232,BFOSGB7SZXF,2002-12-03,1312586
RGGV23515295957917,010294453,MXVCGBS2,2014-01-22,274616
KWVF80818077358825,044477408,AHGNGBKASNM,2002-12-13,1385105
RCBQ97657157066103,031859958,UQOTGBRT,2010-01-09,506231
FFZE12101647559824,119012044,SFHUGBS9DA7,2002-04-25,1645386
TKOC77878765311711,033997300,TIITGBYW,2003-08-12,1895990
LKXJ44293701123394,088219130,CPSHGBGO4TQ,2004-05-29,1785805
HHRD18669003334830,062788933,SOUPGBEU,2015-08-17,908928
XEMR73161617863017,079814285,QBVOGB7086N,2012-07-23,105271
VOSV85290203699868,117159310,HKWGGBI3,2007-04-16,1678726
LYVB65812738192801,064631813,BYLGGBB4,2012-01-07,1382086
DNJH03602227038361,119965942,ETDAGBGWRRT,2014-05-05,1648206
ECJJ24086171200545,125227726,QOVEGB0G,2003-11-23,992977
ADPH88341669486688,014571839,CLWEGB36UGU,2004-01-15,888151
LTST98361787265132,092333248,DSKTGBBF,2014-05-08,1485852
DSCT21009829325326,017525332,IOOEGBM87AR,2004-09-30,185853
KPAD44134945846116,082267641,VPCIGBPQN0E,2016-02-15,1784334
DUGD23201932580672,061387814,MELNGBURPD0,2015-11-17,727740
OHLP61906412127061,094021532,DXJLGBQ2,2019-12-17,1670425
OIOX76302861895452,121856670,HKXIGBAU673,2009-03-30,716644
RNER03186770880132,066016407,BGYLGBJBKY7,2019-09-07,1833738
ICVG18361833915534,060204749,RCUVGBQH,2002-11-06,506434
MBTN95127851210325,018992456,KHYUGBUU,2007-11-15,653425
OUXH85832490386919,051280769,NNMYGBMBMO7,2017-10-30,923918
TRTN48829647115895,063245598,DUWXGBOCP48,2009-04-15,814114
UIES74535680278196,120309283,ZYUOGBL5XAC,2003-10-02,1588565
UOOH89576392219993,114732167,UIRIGBNB,2004-03-17,1914237
OTEK02241754716520,023444575,JTUMGB0SY6A,2003-08-24,1192192
IUGO38478659253020,096772245,ALLDGBUG,2005-04-17,1338179
VRIU38736204022011,018021767,XFTGGBOF,2016-05-26,387327
FAHJ91173026500557,099494012,LCQAGBAL,2005-04-16,791877
ZVLE35043573968158,111745322,QNRUGB3N5Y1,2018-08-18,1889758
RFWU47374519249301,039435675,QGLZGB0H3BX,2008-06-16,508500
CLTZ59388050430931,035508483,PYHNGBV0YPS,2014-07-23,830579
BHXP50732473009361,022195029,YOZHGBOH1VE,2011-06-10,928742
QNSH77354620129071,112324920,NTNOGBFUI02,2014-12-31,637726
WOZJ06260531709257,035666778,JEAOGBYG,2014-04-03,829115
XRDN45053032396464,042309170,OPGPGBXKOTI,2002-02-13,829378
OGZA93405909439152,011682815,XUOZGB3AXVA,2003-05-15,89606
XZXE25587882110656,017947813,TIRAGBM8,2022-08-01,763154
XVLE53878041182931,076790179,GYDFGBD9,2016-06-26,1254190
DZRZ50246693461107,108008849,FRUAGBAQ,2018-09-29,1731768
JBMA35586546048311,083749113,NGLNGB1H,2017-01-12,376910
ABCB60492128687808,027221150,HMHWGBC4,2018-05-26,491325
VHZU05360394314730,113443525,DLJVGB1T913,2008-05-04,1711664
RGNA22170766099188,121094584,SILDGB7W,2018-05-02,1801030
DTZR84750801424020,066372280,MTJHGBZDXEH,2020-07-23,646554
XNTP96681105992455,108629794,TOIXGBG1,2001-11-12,221744
USXV96982460308830,086689351,BNESGBDYA3T,2009-12-15,301957
IUVW68178436654329,103155108,IDSGGBXR,2005-09-18,1505731
YWIJ67580979138393,030218202,LNNCGBEP201,2012-05-24,1913091
NDCD65340115702679,064045881,CKVQGBND,2000-04-09,404734
XVIU50091624175519,091735960,IWYXGBNP,2006-02-27,1807937
EOYV21915768185161,123620286,BSRAGB1JXQK,2011-01-15,1606992
DFQK57604637730991,128718122,INAGGBYN1PV,2017-10-05,190092
POVC24681850935911,083548440,PRJWGB9HB83,2010-04-19,93499
HGBB36223238735151,114660705,LNBAGB93WHX,2008-05-18,1841528
MVYV32801166194581,083245358,MSIBGBH4,2018-03-17,1086156
KQIW48821611610392,062139540,VPDCGBCP48T,2013-04-21,1035776
DOZV85893499524735,089994292,EQSUGBZPOFK,2017-03-12,1807802
ULGZ51156175913256,013935405,UPPJGB1A,2007-08-28,1379012
XULL85573361059631,029393439,KSBKGB6HZTB,2017-10-04,819973
OAWK38030525870851,096215252,TZIJGBW8,2022-02-18,70600
WDSX81534709261161,023112328,WOXGGBF56GG,2019-01-24,287736
MUDI36793508891350,062949154,TZMYGBQ03EA,2006-04-18,692430
YBXN73704076005206,064434434,HRWJGBG0,2010-05-20,1101381
VWXJ72767484663224,099330736,XPMOGBR1Y97,2021-10-02,1166124
WAZM11514834044109,108125670,ORLJGBKF,2006-03-27,1422394
TNFH18575425941167,077081337,IIWWGBGI,2005-02-22,235818
ORSV21340697140790,015748137,PUMNGBTD,2021-01-13,1347266
DHHE69215109606621,015070915,QQCIGBU0,2005-11-26,1997015
QHON48813683057938,105963602,YOEZGBI7,2014-02-12,354757
YLJQ27924350857837,083845415,BUDRGBJ7MMH,2005-02-07,955502
GPLE17796040398505,063244418,TGYFGBOD,2021-09-08,1401164
XZSU14905919107580,105462103,CZPOGBC5M5H,2016-11-12,464689
OPLM76137756930488,056241680,MBENGBK4,2008-02-11,1960995
ZKEK83134859440340,028787059,NISEGBTJ095,2012-06-17,1781801
VWCH20176619128171,120039236,WXFDGBL0,2006-07-18,1027396
YREZ84935192824775,110499734,IMPRGB78,2012-03-13,1974224
RIDA51032605435520,092673296,ZOMZGBVT,2007-05-06,1974942
NGZT25818297815938,085816358,LBNUGBOY,2014-07-02,1266192
UJEK76681812645974,094955271,NBMXGB0E,2020-07-28,314278
NYDU49447755791898,073505066,NXXSGBS2,2011-07-03,1358398
NZEJ48497582915230,099771939,PJXPGBTZLXK,2001-06-19,225270
UDAB14972660719331,119438071,DTSMGBZB,2007-10-16,1425837
KHIQ27458476491713,073228893,XULQGBEK,2001-12-25,1762186
SPIC09070145582827,021187818,XOKYGBC64JZ,2009-05-07,1681722
WYRB79230972739583,020419448,OABBGBHGCMN,2007-10-10,34230
VBQL53004225079764,050523469,RTHGGBV3,2003-02-12,724986
JMZK44138294677050,071644822,QGHRGBORT5X,2020-01-01,481759
NWLQ82673084953128,053134774,XUQEGBJT,2018-01-26,1763886
SDFX27117468705480,082163680,LXVWGBXU,2000-03-26,1618480
CCMZ09619408704513,094552234,LJQAGBFS,2000-04-02,820374
PQRR05144875665680,085097782,ABJGGB39V34,2007-08-16,725908
VXSD57879941731253,031164436,ZOPEGB60DL5,2022-06-16,212731
PRZI85200748886730,084940131,JJVXGBN2M72,2016-12-12,1526061
NPBT01733591673384,097979296,VFXCGBH2,2020-05-13,1140351
TEIC02602298824444,043435218,RVZRGBFE,2018-02-28,656703
LETL04414710124972,023864430,RZTBGBAW5P3,2000-12-28,405064
UCFJ79818886262786,061391376,ROIAGBTC1CW,2020-01-17,1509310
IFUP22428674121710,095956787,UIQSGBJ0,2009-02-11,907084
UINV37224061417148,107636458,ODQZGB7I,2003-07-20,1214318
IVTU01448890036820,050171895,ZLQPGBT5,2006-08-04,1432639
DOAJ53621907725186,090909797,ONQCGBP1,2002-02-15,238618
DAFV51763548708735,072544374,KNVVGBGOALV,2012-07-25,305360
TEEA34130386527234,028611109,TDPSGBO3EC9,2009-03-27,243132
PINB92145537349668,066740841,WLIKGBCF,2007-05-30,1400919
JQLE21719437635474,079996637,OBBFGBLR,2004-12-28,343706
DHDV67375297166603,023741566,SBXSGBB3552,2021-03-07,363141
RNZD19533491748672,048998679,WBBPGBD2,2011-03-25,892700
AYAY58523439642403,059034386,DAANGBUIXUU,2011-06-10,650480
JSRK52480691712766,013035790,VAEBGB3KB8K,2015-07-23,1694290
IPUL79833045265491,022083283,ZQSWGBUOIE2,2019-12-08,814939
VURC41124895948249,118975292,PQFIGBWK6WD,2003-12-30,1356355
UOWK36393869215306,061016936,XQRVGBCC,2002-10-24,220330
LXZZ23980028373010,106348307,RNEJGB6J,2015-02-06,743623
PNVJ72214660367436,127234717,UHENGBC3W14,2014-01-21,154170
NJBI94505945933660,117301317,HDLRGBKFKM5,2005-06-12,230205
VCZU24729414987379,117546677,GWNZGBO0,2017-01-20,1310543
QYCH56662320052821,089200643,YRULGBUF2NC,2008-09-26,758619
FLIP84967148504429,091420071,PZEQGBE6QT8,2008-03-24,1948327
DBDF90116448087076,069463141,SQSFGBTU,2005-12-05,1259103
ANGY62192417582427,068131762,BIYSGB7KP6L,2003-06-28,1356639
NZTJ47745550692385,118432078,BAKWGB0V,2012-11-30,1409298
LIDV85450788868461,111798573,KUVGGBCH28D,2004-02-05,1822214
WWKN77833319281462,048120191,NCEKGBI3,2008-06-23,1972402
SEBE12841740061389,077027126,UDLUGBQA3CR,2016-07-24,837981
OXFD54814951994080,017934004,KBHFGBN9BC6,2021-04-24,1435127
ASJK09944428342643,116679037,JXCWGB1AOHZ,2014-01-24,385847
QSMM03553100121545,056263972,JLRDGBDT,2010-05-18,233449
NUQB13536019136269,047980921,OTUZGBBBZRZ,2008-12-12,1134868
TTYA34869258762400,118520799,HGIBGBYU,2017-06-30,330528
KHUW60096810944584,088609232,MHFAGBDU,2001-04-10,78681
BZAK75558723748389,067902235,RNFZGBEP,2008-02-04,1456524
YGNY26644127896682,056678114,GLHMGBF9,2000-01-28,1191161
NXMN93184866240389,077477284,MLXEGBD2,2006-07-13,1742872
DINV35524849010691,074340534,XSBSGBZDNLO,2002-04-08,833668
UHYY63213916113844,083789364,XTDQGBIDDNW,2010-05-05,1925207
LLYN95538718807459,080827821,LKNGGB9A,2018-04-11,742544
VMST21998068239767,074430208,GLIVGBM6,2015-01-27,1633651
NBPW02289842528722,066780649,VWACGBU17HU,2021-05-12,1698282
DFXQ17665936569573,119084674,DHMUGBJTMUI,2016-03-12,563723
YIAA25607463283705,114608042,FEZUGBGPSD4,2018-10-13,228457
EUVH40645032216606,052854961,IONGGBIIQ76,2022-08-21,1730026
XKWA11422516720943,085755118,DZLLGB7R,2022-08-21,1888065
GJQJ39184768713229,081951262,HNFVGBPD,2007-11-23,578433
ISPI07684723282369,055139748,CKOQGBRSEEK,2004-03-10,1210532
LOCL11917547538008,084914280,KSRIGBB6,2013-01-05,1044591
GUKH16263686012312,018214817,FOLFGB71,2004-06-29,1519963
HHLI82880604413767,043766110,ONHJGBK3F1Z,2015-08-27,44788
FYTP34238257167708,022963798,NLEUGBVLOLT,2012-03-08,873087
JECJ38113065155731,112464589,IAHOGBIT,2002-08-09,897966
GRPZ41528660506691,071675749,BVTEGBIMAHW,2022-08-13,854180
SORV76677275383824,082164401,SQXKGBMWFC4,2008-06-07,1747633
KSQC13005172482535,063950595,EYNGGBTW,2005-11-28,1419812
AFJI34660936862314,114951812,SGZAGB2D43O,2018-09-17,1565098
BEEA04665522261781,030752315,MZAAGBBH70I,2010-05-27,694274
ABXB22313925438468,046275527,LDXXGBQ7UNS,2018-06-22,424758
AYTT22171321386939,052792625,CFIWGBXD,2021-05-04,1218468
NJSE72276910002008,077784113,ODNPGB69,2017-06-19,824641
JZCD80216229884825,127080932,ZCDIGBTC,2015-04-04,654150
HEML96935673809812,089977154,KXCFGBQHMYO,2008-09-03,46984
CJGS92851673012453,087391790,OTYPGBC7,2022-02-20,195860
QQUC96205936493739,100274011,UBRAGBNJ58U,2018-08-01,150792
YJFI26099812928442,046583086,WSXRGBBUSFB,2020-09-03,172077
RMLV36977572634177,042146142,PEWIGBH8,2018-10-04,419798
WCPV45262480623782,032879241,ZIAUGBY5,2019-11-23,1395561
GDKD57566973012890,091201342,BGTMGBK94LL,2001-09-14,1943556
NPXH99346648177362,059362061,UNWMGBNGW9L,2014-12-05,991590
VVTY09506820750761,094817720,VPJGGB9K,2000-07-30,1456253
UPIE29528700852022,059208015,PFIUGBREV7S,2020-06-09,880685
FSSC26654917312608,056091623,WBQFGBPB,2006-01-19,297353
VBSB91794231275350,093551799,FQAUGB7W,2013-10-04,1228073
YTJJ52684689304499,017579391,CODTGB2D,2000-11-01,1327341
CCBN09805240144614,107735511,FDZYGBLDVJE,2007-07-16,1104875
LCCU58004155207353,036429493,FSUNGB48KGD,2003-05-03,121361
VDEG56475859020560,057626385,YWKAGBE009F,2001-09-05,792846
UYWS96429578951029,039426464,DBWVGBJK5TP,2004-04-19,1330307
ILSF98391971750871,095804884,MFRLGB45,2014-06-10,1742274
FVIX34586830611701,056782246,CVSVGBEL,2009-08-26,306739
MBPW46064011079960,116595836,DVTFGBAW1KQ,2011-06-28,243118
BPTR53771267364184,061470873,EDZZGB0E,2004-09-28,707615
TZDB65082423092061,033650058,BDPOGB89,2000-06-17,1236605
VLNX73541591427333,037421898,KXZJGBIVH01,2006-11-05,920284
HTPG06280487172473,025457366,LOGCGBVM5SY,2017-06-03,563201
JDFN13233846814153,108488171,DWAXGBIP,2002-06-24,826517
GZYD73168620731401,013812078,XPRUGBF3,2020-09-25,585083
CFWA68525843431080,016122231,EXHYGBWJ7U2,2014-11-14,1628388
VDJT20110024084713,021062645,PQETGBP0,2001-06-17,227942
JWUA14252720216374,119596573,CQQXGBZJ,2016-12-02,820316
DUCU03224447101119,023556450,STNDGB44,2005-05-31,683322
ABIC77531966697172,049155424,AQDFGBKV,2022-09-19,1399759
SSUV49964439663561,074620791,FBOJGBL2,2009-10-17,211313
KCRB55529765226437,096678161,JTGIGB6A,2018-11-07,1433199
VTTZ06579481129174,022352286,XVDOGBY2,2017-08-05,1768704
VCPU01062729773120,111510612,WQJTGBYT,2000-06-06,81889
EJGN00840367149989,054611678,TDMTGBPI,2012-04-12,1927579
PPFH71814926390077,031028006,NEESGBHRWZ9,2022-06-15,1986759
RFAL42931387264557,097848932,SNAJGB5TELI,2009-03-11,846537
XWAP47575965640293,066062969,GVDYGBH8,2013-06-10,1148089
RJMY57096756148587,098748471,SPIOGBOT,2005-05-11,43690
SBGI14592388845009,038765061,DBGKGBVN91L,2010-12-23,572533
IBLU37517949444061,091506513,JDLXGBZY,2006-07-26,1539782
KRZU09612536201109,078329616,YPGVGBT5,2016-09-12,581366
MLGH14990207435782,107679321,RHPKGBXUAON,2007-01-01,1583451
VJPI56174041909862,106532207,RXIGGB4A,2010-11-10,300290
YBSC91922569244199,012938115,WTRDGBL2,2006-08-24,1897297
YKKD65958469897743,089708352,GOZYGBU0KAU,2011-11-11,134461
JVXF87121766108434,028366551,SKXTGBKP,2019-07-23,1854534
CDII39092046343039,082573047,PVWNGB6P,2018-12-06,559069
GPBK50043722881496,097416746,EAOIGB6KSUF,2002-01-31,1313062
EFAS67619096509587,015358886,MZMFGBUJ,2015-02-03,1910029
LJUB62669200759341,093783509,CGDNGBOVV2I,2003-01-05,1983929
PHTY95097686674282,108807862,TGXTGBHQ3M8,2012-02-26,159472
ONTZ94983683524099,113603051,IBVQGBZTY2F,2020-01-21,1899695
QYVC10136908482121,012666720,XRREGBGL,2003-09-02,262585
FCVB82370344206954,015179874,BKJSGBAX,2014-09-13,729559
XFNU27724447254262,058592133,YHBLGBKVE03,2018-09-21,372543
RUBQ92450210569002,084753234,ZCAQGBR7LOS,2003-11-12,1816867
LWDU29205785122757,056617078,EEOGGBGVDEU,2022-04-15,509358
RWDG84270151146186,049788202,UOMGGBZ6,2013-06-14,1078639
LMFE28520302453957,104137510,CMIYGBWQ,2010-03-27,1600818
YGVW65637602490233,090493384,EQNBGBMM,2000-11-24,22376
QDIN56080496872952,047793956,IITAGBQ6,2015-09-04,1476236
CWSK11204653220325,032671423,NIHYGBJFIGY,2006-04-26,1079082
ZSRG20321695642925,046598615,ZKIQGBSO,2017-12-31,1941364
GZCS66302064170882,031547257,RRARGB0U,2014-06-13,437114
SLXR50114511035188,073179667,SKNVGBI9,2002-08-02,1139214
UIYT21168324473965,015240431,WOYHGBOS,2018-11-01,160982
YSQJ90263191821415,062309228,JFCOGBYL,2020-05-10,428039
CMMO83402130714032,109474948,KQCSGBN8,2003-08-07,1672931
ODWQ50368419785884,080146049,UVMWGBGAF37,2007-08-29,494071
MCRS74579321046501,033202668,LYZUGBG8,2007-01-25,693324
AHXE02671694930219,084276478,AEXHGBCAKYD,2005-05-29,896286
MWBC21392931478051,062320786,FBUUGBV6I91,2019-07-18,916495
VRQB30268382317291,103790194,FGQNGBRU,2018-11-23,1587454
KBWX60269485794658,086031035,TMMQGBOSJUN,2006-07-30,1212080
ZNTZ57750397903628,081754029,JITBGB5X8FE,2013-07-23,1077293
PSUH23159510112662,056095014,BAKSGBYY,2007-01-15,982754
QKPV74358675942233,080613417,OIVFGBWCDYU,2021-02-22,211243
FDRG30213564780077,040297307,ZCFIGB59UP2,2019-07-09,1724193
SBIM64560802905877,054634419,SRHVGB4Z6B1,2017-10-23,252411
NWHP34312352002029,108012806,EUYUGBGUPID,2011-09-15,136205
UTKQ76772516851094,026189303,ANWQGBFVWL6,2008-07-10,1033913
TWQM29901613211018,104093900,CGIKGBKGK2S,2017-12-11,1165344
LZJX48847625366492,124773970,CANNGB5UETH,2015-05-21,1196773
VJPX19005897033800,060378442,IFBWGBRBWS7,2016-09-27,778412
STLA34147275473016,015528409,OTLTGBJN,2015-03-17,1451568
WPNX72729676084871,038643510,AONAGBV2,2015-03-22,87304
FEZR24478672355707,056851122,NJDUGB00Z6Q,2005-08-23,1161691
JNBG80474183723369,097138794,RBHMGBNUZTQ,2003-09-16,1520031
WNTY53188436005514,063001185,HJBOGB3UIIV,2009-05-14,1831775
XHSW96880558005015,042839491,HRETGBD9,2015-04-22,21682
QZQB26868531335559,099828374,QVCNGBX6,2021-01-12,498443
WPIR35137557253668,056295775,LDSZGBTM,2004-10-24,924980
YBOU86614235823048,087125953,YTXCGBV9SSH,2007-12-13,1560491
BIXK79985384680207,082093462,SSBFGBJT2OA,2021-10-26,831641
MMWE73360948669660,012317406,RASOGB1Z2X5,2009-05-23,1115860
ULQX72664717956328,064480734,OYCHGBHPHJJ,2007-12-11,1641735
KMLP21148555655638,084137782,UZVQGBQ6Z1P,2010-07-06,1074484
GWZW29762520326775,084554284,XIAZGBG8,2022-05-02,1692038
YSEU10118033705896,128637999,PVFAGBG63LT,2000-07-03,246552
ITSL00363666084077,034762204,DSESGBQH8IA,2001-01-21,372956
FGPD60673691335939,061659335,GOJYGBK9,2019-02-07,114112
WMHU61971520440482,025457609,UQYEGBHM,2010-07-25,1167108
LFUU69429058456484,077612515,MRROGBJE,2018-11-26,261680
RDUQ63226719594502,085323566,LRIKGBFS,2009-06-23,1429337
